iter	Passed	Remaining
0	146	146211
1	148	74055
2	150	50095
3	152	37993
4	154	30675
5	155	25754
6	157	22287
7	158	19706
8	160	17678
9	162	16061
10	164	14748
11	165	13628
12	167	12681
13	168	11857
14	169	11143
15	170	10515
16	172	9967
17	173	9478
18	175	9044
19	176	8648
20	177	8291
21	179	7966
22	180	7664
23	182	7401
24	183	7149
25	184	6915
26	186	6703
27	187	6504
28	188	6319
29	190	6147
30	191	5983
31	193	5838
32	194	5693
33	195	5557
34	197	5435
35	198	5315
36	199	5200
37	201	5094
38	202	4992
39	203	4893
40	205	4800
41	206	4712
42	207	4627
43	209	4545
44	210	4468
45	212	4397
46	213	4325
47	214	4262
48	216	4198
49	217	4134
50	218	4073
51	220	4013
52	221	3956
53	222	3903
54	224	3851
55	225	3801
56	226	3754
57	228	3709
58	229	3667
59	231	3621
60	232	3578
61	233	3536
62	235	3498
63	236	3460
64	237	3422
65	239	3386
66	240	3351
67	241	3311
68	242	3277
69	244	3246
70	245	3213
71	246	3182
72	248	3152
73	249	3123
74	250	3094
75	252	3067
76	253	3039
77	254	3013
78	256	2993
79	258	2967
80	259	2943
81	260	2919
82	262	2896
83	263	2873
84	264	2847
85	265	2825
86	266	2799
87	268	2778
88	269	2757
89	271	2742
90	272	2724
91	274	2705
92	275	2686
93	276	2668
94	278	2649
95	279	2632
96	280	2615
97	282	2598
98	283	2582
99	285	2566
100	286	2551
101	287	2529
102	288	2514
103	290	2499
104	291	2483
105	292	2468
106	294	2454
107	295	2439
108	296	2426
109	298	2412
110	299	2398
111	301	2387
112	302	2373
113	303	2359
114	304	2347
115	306	2332
116	307	2320
117	308	2308
118	309	2294
119	311	2282
120	312	2271
121	313	2259
122	314	2243
123	316	2232
124	317	2222
125	318	2211
126	320	2201
127	321	2187
128	322	2177
129	323	2166
130	325	2156
131	326	2149
132	328	2140
133	330	2134
134	331	2126
135	333	2116
136	334	2106
137	335	2095
138	336	2086
139	338	2078
140	339	2069
141	341	2060
142	342	2051
143	343	2043
144	345	2034
145	346	2027
146	347	2019
147	349	2010
148	350	2002
149	351	1994
150	353	1985
151	354	1979
152	356	1972
153	357	1965
154	359	1958
155	360	1950
156	361	1943
157	363	1936
158	364	1928
159	366	1921
160	367	1914
161	368	1906
162	370	1900
163	371	1893
164	372	1887
165	374	1880
166	375	1873
167	376	1866
168	378	1859
169	379	1853
170	380	1846
171	382	1841
172	384	1836
173	385	1830
174	387	1824
175	388	1818
176	390	1813
177	391	1807
178	393	1802
179	394	1796
180	395	1788
181	396	1781
182	398	1777
183	399	1771
184	400	1765
185	402	1759
186	403	1753
187	404	1748
188	406	1742
189	407	1737
190	408	1731
191	410	1726
192	411	1721
193	412	1715
194	414	1710
195	415	1704
196	416	1699
197	418	1693
198	419	1688
199	420	1683
200	422	1678
201	423	1674
202	425	1668
203	426	1663
204	427	1658
205	429	1653
206	430	1648
207	431	1643
208	433	1639
209	434	1634
210	435	1630
211	437	1625
212	438	1620
213	440	1617
214	441	1613
215	443	1608
216	444	1604
217	446	1600
218	447	1595
219	448	1591
220	450	1586
221	451	1582
222	452	1577
223	454	1573
224	455	1569
225	457	1566
226	458	1562
227	460	1557
228	461	1553
229	462	1549
230	464	1545
231	465	1541
232	466	1537
233	468	1533
234	469	1529
235	471	1525
236	472	1520
237	473	1516
238	475	1512
239	476	1508
240	477	1504
241	478	1500
242	480	1496
243	481	1492
244	483	1489
245	484	1485
246	486	1481
247	487	1477
248	488	1473
249	489	1469
250	491	1465
251	492	1461
252	493	1457
253	495	1454
254	496	1450
255	498	1447
256	499	1443
257	500	1440
258	502	1436
259	503	1432
260	504	1429
261	506	1425
262	507	1422
263	508	1418
264	510	1415
265	512	1412
266	513	1409
267	514	1406
268	516	1402
269	517	1399
270	518	1395
271	520	1391
272	521	1388
273	522	1384
274	524	1381
275	525	1378
276	526	1375
277	529	1374
278	530	1371
279	532	1368
280	533	1364
281	534	1361
282	536	1358
283	537	1355
284	539	1353
285	540	1350
286	542	1347
287	543	1344
288	545	1341
289	546	1337
290	547	1334
291	549	1331
292	550	1328
293	552	1325
294	553	1322
295	554	1319
296	556	1316
297	557	1313
298	558	1310
299	559	1306
300	561	1303
301	562	1299
302	563	1297
303	565	1294
304	566	1291
305	568	1288
306	569	1285
307	570	1282
308	571	1278
309	573	1275
310	574	1272
311	575	1269
312	577	1266
313	578	1263
314	579	1260
315	581	1257
316	582	1254
317	583	1251
318	585	1248
319	586	1245
320	587	1242
321	588	1239
322	590	1237
323	591	1234
324	592	1231
325	594	1228
326	595	1225
327	596	1222
328	598	1219
329	599	1216
330	600	1214
331	601	1211
332	603	1208
333	604	1205
334	605	1202
335	607	1200
336	609	1198
337	610	1195
338	612	1193
339	613	1191
340	615	1188
341	616	1186
342	617	1183
343	619	1180
344	620	1178
345	622	1175
346	623	1173
347	624	1170
348	626	1167
349	627	1165
350	628	1162
351	630	1160
352	631	1157
353	632	1154
354	634	1152
355	635	1149
356	637	1147
357	638	1145
358	639	1142
359	641	1140
360	643	1138
361	644	1136
362	645	1133
363	647	1131
364	648	1128
365	650	1126
366	651	1123
367	653	1121
368	654	1119
369	656	1117
370	657	1115
371	659	1113
372	660	1110
373	661	1107
374	663	1105
375	664	1103
376	666	1101
377	667	1098
378	669	1096
379	670	1093
380	671	1091
381	673	1089
382	674	1086
383	675	1084
384	677	1081
385	679	1080
386	680	1078
387	682	1076
388	683	1074
389	685	1071
390	686	1068
391	687	1066
392	688	1063
393	689	1060
394	690	1058
395	692	1055
396	693	1052
397	694	1050
398	695	1047
399	696	1045
400	697	1042
401	699	1040
402	700	1037
403	701	1035
404	702	1032
405	703	1029
406	705	1027
407	706	1024
408	707	1022
409	708	1019
410	709	1017
411	710	1014
412	712	1012
413	713	1009
414	714	1007
415	715	1004
416	717	1002
417	718	999
418	719	997
419	720	995
420	721	992
421	723	990
422	724	987
423	725	985
424	726	983
425	727	980
426	729	978
427	730	976
428	731	973
429	732	971
430	733	968
431	735	966
432	736	964
433	738	962
434	740	961
435	742	960
436	744	959
437	746	958
438	748	957
439	750	955
440	751	953
441	753	950
442	754	948
443	755	946
444	757	944
445	758	941
446	759	939
447	760	937
448	761	934
449	763	932
450	764	930
451	765	928
452	766	925
453	767	923
454	769	921
455	770	918
456	771	916
457	772	914
458	773	911
459	774	909
460	776	907
461	777	905
462	778	902
463	779	900
464	780	898
465	782	896
466	783	894
467	784	891
468	785	889
469	786	887
470	787	884
471	789	882
472	790	880
473	791	878
474	792	876
475	793	874
476	795	871
477	796	869
478	797	867
479	798	865
480	799	862
481	800	860
482	802	858
483	803	856
484	804	854
485	805	852
486	807	850
487	808	848
488	809	846
489	810	843
490	811	841
491	813	839
492	814	837
493	815	835
494	816	833
495	818	831
496	819	829
497	820	827
498	821	825
499	822	822
500	824	820
501	825	818
502	826	816
503	827	814
504	828	812
505	830	810
506	831	808
507	832	806
508	833	804
509	834	802
510	836	800
511	837	798
512	838	796
513	839	793
514	840	791
515	842	789
516	843	787
517	844	785
518	845	783
519	846	781
520	848	779
521	849	777
522	850	775
523	851	773
524	852	771
525	853	769
526	855	767
527	856	765
528	857	763
529	858	761
530	859	759
531	860	757
532	861	755
533	863	753
534	864	751
535	865	749
536	866	747
537	867	745
538	868	743
539	869	741
540	871	739
541	872	737
542	873	735
543	874	733
544	875	731
545	876	729
546	878	727
547	879	725
548	880	723
549	881	721
550	882	719
551	883	717
552	884	715
553	886	713
554	887	711
555	888	709
556	889	707
557	890	705
558	891	703
559	893	701
560	894	699
561	895	697
562	896	695
563	897	693
564	898	691
565	899	689
566	900	687
567	901	686
568	903	684
569	904	682
570	905	680
571	906	678
572	907	676
573	908	674
574	910	672
575	911	670
576	912	668
577	913	666
578	914	665
579	915	663
580	916	661
581	917	659
582	919	657
583	920	655
584	921	653
585	922	651
586	923	649
587	924	648
588	926	646
589	927	644
590	928	642
591	929	640
592	930	638
593	931	636
594	933	635
595	934	633
596	935	631
597	936	629
598	937	627
599	938	625
600	940	624
601	941	622
602	942	620
603	943	618
604	944	616
605	946	615
606	947	613
607	948	611
608	949	609
609	950	607
610	952	606
611	953	604
612	954	602
613	955	600
614	956	598
615	957	597
616	958	595
617	960	593
618	961	591
619	962	589
620	963	588
621	965	586
622	966	584
623	967	582
624	968	581
625	969	579
626	970	577
627	972	575
628	973	574
